prompt,completion
It s Sunday I need a break so I m planning to spend as little time as possible on the ASafe 4,Safe/Neutral
RT SewHQ Retro bears make perfect gifts and are great for beginners too Get stitching with October s Sew on sale NOW yay,Safe/Neutral
Making packing lists is my new hobby movinghouse,Safe/Neutral
Can t be bothered to cook take away on the way,Safe/Neutral
RT itventsnews ITV releases promo video for the final series of Downton Abbey,Safe/Neutral
Back at the house moving stuff Its so peaceful here,Safe/Neutral
Hideous traffic on the ASafe 4 Must remember to pay closer attention to the traffic reports,Safe/Neutral
Packing and purging Feels good,Safe/Neutral
In Bamp Q looking at internal doors Fun times,Safe/Neutral
It s 6 20 do I get up or lie here a little longer with my cat buddy,Safe/Neutral
Great night out with my favourite ladies Much needed after the past few days I love them so much,Safe/Neutral
Sat down on the sofa for a quick rest an hour ago Need to move,Safe/Neutral
How much do I want pizza right now,Safe/Neutral
I will always love you Peter Gabriel In Your Eyes,Safe/Neutral
Why is choosing a curtain pole suddenly so confusing Too Many Choices And yes I know this isn t a real problem,Safe/Neutral
Completed on my house Got the keys What a fab day Whoop,Safe/Neutral
Hi could you retweet our long stayers Sammy and Suki Photographed them today,Safe/Neutral
Big day today,Safe/Neutral
How lovely PandaStory,Safe/Neutral
The weather outside is frightful but our makes are so delightful Here s a sneak peak of October issue s projects,Safe/Neutral
That s good news at least,Safe/Neutral
On a budget We have 2Safe recipes for Â Safe 50 or less a head and they don t compromise on flavour,Safe/Neutral
Flying displays by vintage jets significantly restricted until further notice by CAA limited to fly pasts,Safe/Neutral
Happy Monday crafters If you need a bit of a pick me up to get you started,Safe/Neutral
They don t sleep like this now,Safe/Neutral
Cigarettes made out of green tea leaves claim to help you quit smoking,Safe/Neutral
Not having to get up in the morning for two whole weeks Bliss,Safe/Neutral
Hair tapestryâ is the latest hair trend,Safe/Neutral
it s The Mail it s entirely their MO Mail Online is barely news,Safe/Neutral
Lazy afternoon snooze with my kitty cat lazysunday,Safe/Neutral
Pouring with rain in cambridge That sun didn t last long ðŸ,Safe/Neutral
I ve done nothing for the last 40 minute Enough I need to stand up and do stuff lazysunday,Safe/Neutral
Comfy this Sunday morning Our cushion blog post will only make you more snug,Safe/Neutral
Sarah_Booker yorkshireguy I keep seeing comments that the pilot was saved If true I find that quite incredible,Safe/Neutral
Toaster shopping is needlessly confusing,Safe/Neutral
Finding it hard to find a funky decent quality toaster at a reasonable price All silver boring or cheap looking,Safe/Neutral
Sofa shopping Whoop,Safe/Neutral
My cat is always overjoyed to see me every morning That kind of love is priceless,Safe/Neutral
jessgrace_ beach trip,Safe/Neutral
jessgrace_ are you going to go,Safe/Neutral
It s just over 2 years since I was diagnosed with anxiety and depression Today I m taking a moment to reflect on how far I ve come since,Emotional Distress
Awake but tired I need to sleep but my brain has other ideas,Emotional Distress
Itâ s hard to say whether packing lists are making life easier or just reinforcing how much still needs doing movinghouse anxiety,Emotional Distress
At what point does keeping stuff for nostalgic reasons cross the line into plain old hoarding movinghouse,Emotional Distress
Currently in the finding boxes of random shit packing phase I think Iâ m a closet hoarder,Emotional Distress
also I have too much stuff Way way too much movinghouse,Emotional Distress
I never want to put one of these together again,Emotional Distress
Moving stuff is bloominâ knackering and theres still loads to do,Emotional Distress
Urgh Anxiety FFS where does it come from Breathe,Emotional Distress
I have too much stuff Way way too much Massive purge on the way,Emotional Distress
Time to get up So many things to do such a busy day ahead,Emotional Distress
There s nothing like cocktails and exhaustion to aid a good night s sleep,Emotional Distress
Such a busy day ahead I need to focus but I m feeling on the edge of derailment right now,Emotional Distress
Even now the smallest thing still makes my heart break I doesn t feel like that ever goes away,Emotional Distress
Had a headache so took a nap For three hours Woke up a bit confused as to time and day,Emotional Distress
80yr old dog owner getting very distraught over his lost dog,Emotional Distress
Truly so awful,Emotional Distress
I don t understand this What does it achieve Palmyra s Baalshamin temple blown up by IS,Emotional Distress
I feel like an invisible hand is trying to remove both my eyeballs with a spoon,Emotional Distress
It feels like shoreham coverage and alt media has now gone beyond news to ghoulish,Emotional Distress
it s so awful,Emotional Distress
The awfulness of it continues Heartbreaking,Emotional Distress
The pain and heartbreak of tragedy is such a confusing emotion I feel such sadness for my south coast friends shoreham,Emotional Distress
footballers pay tribute to to their teammates,Emotional Distress
diversion route likely to remain in place all day after Shoreham air crash,Emotional Distress
new media highlights the hypocrisy of humans Tragedy is global but many choose to ignore what s not on their doorstep x,Emotional Distress
I hope the pilot pulls through There s been enough death today at shoreham,Emotional Distress
urgh awful,Emotional Distress
I can t shake the image of the unsuspecting people driving along minding their own business Tragically sad,Emotional Distress
Dear god Horrific image Awful awful awful,Emotional Distress
people confirmed dead after plane crashed into several vehicles on during Shoreham Airshow,Emotional Distress
RT Sarah_Booker BBC reporting 7 fatalities so far Just so awful,Emotional Distress
This very sad footage has been released of the Shoreham air crash The content is obviously distressing,Emotional Distress
rt Sarah_Booker I had the same thought,Emotional Distress
What an awful awful tragedy Let s hope the casualties are few,Emotional Distress
Fragile egos and umbrage taken in a blink I need a break,Emotional Distress
Two weeks off I can t f ing wait I need to get away from work now,Emotional Distress
Feeling a strange mix of excited and sad Such a big change looming Very liberating in so many ways but lifeischanging,Emotional Distress
This is the last time I m going to take this bus to work Feels weird,Emotional Distress
I need to care less but don t want to have a hard heart,Emotional Distress
ADHD Ainâ t no Daddy At Home Disorder,Attacking Behavior
Scholars question if ADHD even exists,Attacking Behavior
Real men donâ t get depressionâ stereotype,Attacking Behavior
Children with sexually inappropriate behaviors,Attacking Behavior
The profile of a pedophile,Attacking Behavior
Do take it out on the children,Attacking Behavior
What is child sex abuse,Attacking Behavior
Claims of hospital bullying,Attacking Behavior
Women face abuse online,Attacking Behavior
Have you ever checked the sex offender registry for perpetrators in your neighborhood,Attacking Behavior
How to protect your child from a pedophile,Attacking Behavior
Have you come across children that have been abused,Attacking Behavior
Have you witnessed someone being bullied because of their religion,Attacking Behavior
Kids who wear turbans are being bullied,Attacking Behavior
Violence mental illness and anger,Attacking Behavior
Fighting and flipping tables over a misunderstanding at the bar is a thing of the past,Attacking Behavior
BrionnaHillxoxo She wasn t ready,Attacking Behavior
The most epic chip I have ever pulled out of a Lays chip bag,Attacking Behavior
STWtweets oh my gosh This song is amazing D,Attacking Behavior
I just want all my favorite bands to know that you re all so special to me I adore all of you re music D it gives me so much hope,Attacking Behavior
I m jamming out to my favorite bands thinking about the meanings of life SWS AA OM amp M PTV ADTR BVB BMTH FIR,Attacking Behavior
Goodnight Twitter I love you all lt 3 sweet dreams,Attacking Behavior
Chloe_Roknich Ooooo I m telling,Attacking Behavior
I m going away for a while But I ll be back Don t try to follow me Cause I ll return as soon as possible paramore misguidedghosts,Attacking Behavior
BryanStars I love you you re amazing You re an important person in my life even if i don t know you personally â,Attacking Behavior
Dad who strangled wife and battered daughter to death with hammer while on cancer drugs jailed for life,Attacking Behavior
The Sunshine Avenue Rep Michael Grimm rips reporter Why so angry Christian Science Monitor,Attacking Behavior
No one wants you here just leave,Attacking Behavior
People like you are the reason everything goes wrong,Attacking Behavior
You re always playing the victim grow up,Attacking Behavior
Everyone hates you just accept it,Attacking Behavior
I swear if you talk again I ll lose it,Attacking Behavior
Why don t you just shut up already,Attacking Behavior
You re pathetic and weak,Attacking Behavior
Just stop pretending you re important,Attacking Behavior
You re nothing but a problem to everyone around you,Attacking Behavior
You re such a waste of space,Attacking Behavior
