prompt,completion
Does N e bodyelse Hear her Crazy ass Screamin HOE everytime she say s Stupid Hoe Lol did n e body see Chris Browns face at 2 04 wen Nicki was touchin him If you worked out we wouldn t be lookin at that Body D She looks so tired She has ah Tatto on her ass Wtf is this o O Instagram Deze Nutt s In Yo Mouth Lmao This Video Song made me ah Lil Umm In the mood ___ We re all in this together motherfucka Wow you have an amazing voice And I ve never said that about anyone,Attacking Behavior
nicki s too sexy holy hell oh my god DON T TURN MY MUSIC AGAINST ME seriously so funny I really love this It s a cool premise and I like how hard you guys worked on it and it s just fantastic Well done hahahahahahah So nobody s gonna talk about KURT FINALLY CAN SING AGAIN great song you can totally tell ne yo wrote it hit,Safe/Neutral
stupid video George Z had to do that in self defense Also if u replay the original 911 call u would hear that its the same voice Its a tragedy Trayvon was killed but it would also be a tragedy to send George to prison horble i need 10 u bet All of them are already rotting These psycos are not christians they are just like extreme Muslims who have been tricked by satan They are on the paths to hell Many will come in my image to deceive you these people have been deceived,Attacking Behavior
wow big tune juicy tune this feels good in my brain high hopes for netsky nice amazing tune big tune i liked it fuark still the best fucking thing on the internet do the aussies proud mate the start of something amazing fuark fuark big tune tune that lift was pretty good tune If you get a virus now days you must be downloading some interesting stuff tune hoh what a tune,Safe/Neutral
i like that song cool video but i hated the black spots that kept coming on the screen lol love this song good singing keep singing your good love this song,Safe/Neutral
red Mohawk the dude next to him has pig teals lmao damn she hott jokes on you no one knows this song he says the same shit that he said in yonkers wtf take b o b out and put Eminem dammmmmmm watch that high BUGOUT lmaoo that white dude in the back is lost lmao,Safe/Neutral
grabee mo Vice what s the title of the song wow I love this song so much this is song reminds me of wonderful loveit s so nice How I wish I was the girl that taeyang kissedshe s lucky I m insecured after i watched this vid it gave me goose bumps 3 what kpop drama is this I have watch all the music videos of super junior because super junior is my idol I love siwonkyuhyunryewookdonghae eunyukleuteukall of them yaaaa why didnt they become a dance group they are so good and cute heheheheeh,Safe/Neutral
RossJohn69 STFU with ur god bullshit u dumbass lostinthecrowd5827 everything apparently to the gay dudes _ Arrraghhhh I JUST WANT THIS SHIT TO BE RELEASED ALLREADY i imagine its hard to rap and sing with cotton mouth my mouth and throaght ge,Attacking Behavior
Ugh Martin joins DaveChaos in my hatred for biggest cunts to tag along in Yogscast videos None of those divas are latino I can t wait to never play as him Best most stupid comment ever Thanks for the laugh If someone is 1 32 of a heritage I wouldn t class them as it I d only go back as far as their grandparents to be honest because everything after that is kind of pointless but if you re picky w e class them as what you want Except that he wrote the script for it after the first few episodes,Attacking Behavior
Great video I love it In fact I can t hate Regina i can t Love your face when you sing D OMG big baby Wouah I don t really understand the message behind this someone Enorme toujours meilleurs continuez comme ca seriously guy this video is awesome good job it was hilarious ans the music was perfect pure sa ram trop quand on est en cours XD,Safe/Neutral
