prompt,completion
Andrews Air Force Base Regarding your edit here no information was removed except a paragraph that had nothing to do with Andrews Air Force Base Furthermore edits don t have to be discussed on the talk page and using that as a foundation for reverting an edit without actually examining the edit itself is rather irresponsible,Attacking Behavior
FIRST OF ALL I WROTE THIS AND I DONT WANT IT ON THE PAGE AND BEFORE YOU CALL SOMEONE BLOODY MINDED YOU SHOULD GO FUCK YOURSELF AND REVISE YOUR OWN IGNORANCE YOU FUCKING LOW LIFE SCUM BAG,Attacking Behavior
Snoop Dogg offical member Snoop Dogg is considered an offical member amoung us niggaz you white folkz jsut go by tha script but no one reps wit N W A unless they a goddamn member N thats tha rule,Attacking Behavior
I didn t vandalize anything except sometimes in retaliation to make my point understood They are a bunch of ignorant people who have never read a single line of J F s work who are systematically vandalizing any reference to the Proto Ionic Solution because it destroy their POV Allow me to give you an advice read the J F s books if you can understand French Make your own opinion about the Proto Ionian Theory instead of trusting biaised hearsays In advance thank you User 80 90 57 154 15 17 24 March 2006,Attacking Behavior
a heartfelt plea jay i ve long thought you like slim either have or ought to have a successful career in stand up comedy but after your latest trivia cut i have to ask can you please please stop bringing your work hobby into what is supposed to be a serious encyclopedia i realize that it isn t really and that a complaint to the governing soviet packed with your fellow comedians would be useless but where s your ethical sense you re giving the jocular community a bad name,Attacking Behavior
Please stop If you continue to vandalize pages you will be blocked from editing Wikipedia,Attacking Behavior
Not at this time fag,Attacking Behavior
Out of curiosity Gamaliel did you specify any end date for this personal grudge banning or is it until I abase myself before you Cause that isn t gonna happen,Attacking Behavior
Hey great job on finding out who I am typer525 You re a modern day Sherlock Holmes The hero of Whitney Highschools wikipedia page Hooray So when am I going to receive your email Karl,Attacking Behavior
And how do you expect to stop me,Attacking Behavior
25 March 2006 UTC The opinions Tisthammer is insisting on adding are NOT about Josephson OR about Natasha Demkina They re about Profs Hyman Wiseman and me Josephson has nothing really to say about Natasha Instead he argues that we re a bunch of unethical crooks That appears to be why Tisthammer wants the link added And he doesn t care that it violates Wiki guidelines He says he s willing to compromise by allowing me to add a statement or two denying that we re a bunch of unethical crooks He calls that a compromise This is Tisthammer s idea of mediation Immediately take a side and argue for it by misrepresenting Wikipedia guidelines and the meaning of words like primary source Josephson is no primary source He s never met Natasha never tested her never spoke with her and his only personal knowledge of the Discovery Channel program comes from watching it like millions of other TV viewers He s no more a primary source than is Tisthammer himself If Tishammer wants to create a new Wiki article on Josephson s fights with skeptics he should do so and stop pretending he s a mediator There s much too much bilge in this discussion page already 13 39,Attacking Behavior
Amen my sock pupinski brother Hack a long please leave my links and quit being a mini dictator ThANKS,Attacking Behavior
Look there are clearly more people here that hate my guts than love me it s very simple and clear delete and trash ANYTHING THAT I DO HERE simply because I DO IT Fifteen fools that are friends allies meat puppets jyronies can outvote my junior arz any day of the week because I am just myself alone The Democracy of stupidity prevails whether it is correct or no Who gives a carp if it is my personal site If it has something to offer to this article has no advertising then what in the FREAK does it matter anyhow,Attacking Behavior
WTF EVER from waldo you guys are SO junior and lacking,Attacking Behavior
Attn IMROY if I want your stinky opinion I would have flushed three times pal,Attacking Behavior
Article getting vandalised I got banned for vandalising an article when I actually thought I was doing the right thing Since then I have created a page and it is continually being vandalised but you and your fellow staff are doing nothing to prevent it from happening The address is the usual strikerworld If a page about a vagina can be prevented from vandalism then mine should be too,Attacking Behavior
It s my talk page I can do whatever the heck I want with it However if you keep defacing my talk page I will try my damnedest to get you banned _Sanka 123_,Attacking Behavior
Please do not mess with my talk page If you keep defacing my talk page I will make sure you get banned from wikipedia,Attacking Behavior
Point out EXACTLY where the word masturbation is anywhere in the Bible Stupid fundy,Attacking Behavior
26 March 2006 UTC Dear Charles I m reverting to save my votes because someone was reverting to remove it Also you can t add your opinion about the vote before the vote a greek republican who is narrow minded and acts according to his feelings but the right thing is to vote for us and blah blah blah Please use the discussion 06 11,Attacking Behavior
facts are facts jay and the disruption occurs when members of the jocular community try to suppress the facts editing the encyclopedia solely for the purpose of trying to tie Jews to political scandal and crime wrong again i ve tied kevin strom to homophobia a fine example of what has earnt wikipedia its increasing reputation and i note that hatewatcher s sole purpose earns no rebukes why might that be i wonder,Attacking Behavior
so now i m stalking your edits is kevin strom a homophobe or not true i ve had a sense you might have an interest in the topic but it hasn t been based on your edits Bleating suppressing the facts will do you no good this is news already you re right of course and nor will bleating to the comedy cabal that bleating and crap constitute personal attacks you seriously think that attending a friends of Israel meeting is noteworthy i do indeed just as you do that s why i put it in and you take it out,Attacking Behavior
