prompt,completion
Making some lunch,Safe/Neutral
You want his money.,Safe/Neutral
That crap took forever put together. I going sleep for days,Safe/Neutral
Hey jer! since when did you start twittering?,Safe/Neutral
Trying out 'delicious library with mixed results the bar code thought I wanted add a sport bra instead a drill cool app tho!,Safe/Neutral
"Oh, that's good hear. but over already? you'll continue after the holy week?",Safe/Neutral
U've got a list for fellow you gonna have share that one amigo!,Safe/Neutral
"Just because shane made a series you doesnt mean people take you seriously,",Safe/Neutral
Time for some warsaw beer garden chilling,Safe/Neutral
I hate life lmao I hope I die soon sumn I'm too tired everything,Suicidal Reference
"Everything your lover does for you for her survival, everything your mother does for you for your survival.",Safe/Neutral
"There a stray cat campus that looks like garfield. the students are always feeding him, very fat. like me.",Emotional Distress
I have awful habit avoiding writing papers watching instagram live videos the kids I used nanny for,Safe/Neutral
Haha. well I have more but I don't have anything but file the rest away delete them.,Safe/Neutral
Goooooood hwo're you?,Safe/Neutral
"I want say ill never active again. not quite sure, I dont have any reason here anymore anyways bye everyone",Suicidal Reference
Focus opportunities more than you focus money.,Safe/Neutral
Somebody please fucking kill love,Attacking Behavior
I the point the semester where I tired everything. I just want roll over and die.,Suicidal Reference
",ger rus eng,I want die much, I dont want here anymore",Suicidal Reference
"And I hate the fact it's true dojae will surgery, dojae has endure the pain alone without segye a",Safe/Neutral
"When you're tired living your life, all you can close your eyes and sleep...",Suicidal Reference
I going kill myself right now I sorry you are feeling desperate,Suicidal Reference
"Enjoy I just can't get into this season, but happy know that you're getting your groove on.",Safe/Neutral
Bloodstain the carpet? ready gooo!,Safe/Neutral
Really fuckin want this portion life over.,Emotional Distress
I'm very very hungry! don't anyone timeline dare talk about food I'll seriously eat you up!,Safe/Neutral
Mom always used want everyone home before dark though anything was out there night that wasn't there during the day.,Safe/Neutral
I think you'll whatever you want.,Safe/Neutral
That sounds terrible that's how I was when dad still lived but I hope gets better for,Emotional Distress
"No, just one shortly before the soap awards judging starts....",Emotional Distress
"Just had a conversation with about how 'dependent' seem internet and mobile phones nowadays,",Safe/Neutral
"Yes, I was reading that one",Safe/Neutral
Life miserable and it's not getting better.,Emotional Distress
"You sau! I stood then off offenbach, home. outside. sunshine. love you.",Safe/Neutral
She not tired.,Safe/Neutral
Being a single mommy was never part the plan but I wake everyday and shit,Emotional Distress
"But what bezos, blasio, and cuomo have down walked into our little lego town, kicked all our lego towers a",Safe/Neutral
I want money,Safe/Neutral
"How was it, I know what expect?",Safe/Neutral
Mmm mummy's culinary skills has been improving. smells good! I'm loving home cooked food!,Safe/Neutral
I need put myself rest I crashed motorcycle today I don know how but I mostly fine was the most beautiful moment life I know sick think that but felt good see people approach help after the crash the feeling body being dragged bike for several meters the ground looking the sky while this one song played earphonesi just felt emptiness for the past yearsi don want this second chance I want get broken bike bring speed one last time and then just end all I just don want drown anymore please,Suicidal Reference
Brushin' mah teef. secularly.,Safe/Neutral
I'll london today. wave you see,Safe/Neutral
I looking for the berocca then all will well,Safe/Neutral
Thank you I thought was. pass around. have a great day luv stuff,Safe/Neutral
I wanna die. I don deserve a piece anything. I don belong anywhere. I sick and tired everything. the,Suicidal Reference
I fucking hate whole family all they making feel fat and I'm done with feeling bad about body and,Emotional Distress
I luv your blog too! fashion,Safe/Neutral
Sorry for your loss. this post gave goosebumps because although I haven thought suicide,Emotional Distress
"I started something with the rocquestar thing, didn't I??",Safe/Neutral
"Photoboth black and white. and wayyyyy old. call him herbert lol. I love him, he's like a living legend. gotta love berlin",Safe/Neutral
The one were looking out for?,Safe/Neutral
Want kill her.,Attacking Behavior
Understand what the fuck doing wrong with life,Attacking Behavior
"Awwwwww, I really wish I could there give some serious tlc rachel hun....sending huge hugz and kisses",Emotional Distress
Looking for help testing prawn pdfs with cucumber. all I can find prawn and cucumber salad recipes!,Safe/Neutral
Should tell them that his sister fixed,Safe/Neutral
"Something weird that I couldn't stop thinking about him, couldn't sleep. then out some old papers a card I",Safe/Neutral
"Congratulations, john! I'm a creepy actor, not a sweet actor",Safe/Neutral
He! thanks,Safe/Neutral
The photoshop,Safe/Neutral
Normal workday for me. I still have plans aspirations submit some info for the miz mag honest I do.,Safe/Neutral
Easy way mbk and get hacked. got a rom his phone...,Safe/Neutral
",,and I just dont want fucking here anymore. please someone just fucking end because I know itll worse for everyone I myself and fuck I want but please please someone just kill please",Attacking Behavior
"I'm tired,",Emotional Distress
Cullen family jewellery set arrived this morning! happy!,Safe/Neutral
Getting ready take kids the farm,Emotional Distress
These boys might find shocking that some internet stranger like myself would say 'fuck these guys',Attacking Behavior
I ate candy cigarettes but I didn't eat the wax once I drank the coke. I did however eat the candy lips.,Safe/Neutral
I damn near hate smoking myself but sometimes I like cause I can finish blunts and I having some for later.,Emotional Distress
Going get some cereallllllll will living off lucky charms next week! woopwoop!,Safe/Neutral
"'tagged punk, punk rock, pop punk, new york, more people should listen this band",Safe/Neutral
It's a great time life! can help you design amazing wedding.,Safe/Neutral
Wow! wow! good hear,Safe/Neutral
Feeling overwhelmed and wanting die I tried kill myself today all I wanted was boyfriend help somehow since sees this depression spiral but all says will get better I know will but currently I feel trapped own home I have friends and I constantly feel weak unmotivated I have desire have sex with partner and tend find the worst him lately I love him but some things does amplifies depression I dont want die but when I get hurt lonely overwhelmed the one thought I cant shake killing myself,Suicidal Reference
Asking everyone send out happy 'head-first' vibes,Safe/Neutral
And waiting for sunrise spring with amazing colors,Safe/Neutral
"Good far thanks, hope yours will treat you well too",Safe/Neutral
Then might not for a while though?,Safe/Neutral
"Only the 12th and I have completed selling goal, I happy",Safe/Neutral
"But still,I highkey want him dead. killed peach and beck ugh.candice back imma just",Attacking Behavior
Take care guys..!!,Safe/Neutral
Whole family damn beautiful and I the start the ugly generation and I just hate myself much I can even express,Emotional Distress
"Co-workers are guinea pigs. lucky for them, I'm testing recipes from ultimate cookie cook book.",Attacking Behavior
I want him get indicted watch the kids jail I don want him die because the trump,Attacking Behavior
Legit question can I fucking kill myself I'm 100 done with life,Suicidal Reference
How's the ski jumping going? have you beat the missus yet?,Attacking Behavior
I hope I fucken change cause damn I hate myself!!!!!!!!,Emotional Distress
Really good and helpful about the various crisis the universe I have read them all,Safe/Neutral
Nothing live for? why? because you have been nasty?,Attacking Behavior
Had a lovely night with the best boyfriend and two very good friends,Safe/Neutral
Girlfriend left I hate college I have direction life I just want sleep and never wake ive been thinking about suicide a lot recently and different methods the only reason I havent done far because I too much a pussy I have access enough drugs overdose I live near plenty tall buildings I seeing a therapist and psychiatrist all the pills they given have only exacerbated symptoms I dont care about leaving everything behind because I dont want hurt the people around but why should I living shit life just others arent inconvenienced one these days I drunk enough finally pull the trigger figuratively literally,Suicidal Reference
You dont have bring anything it's place,Safe/Neutral
Rosie does think I gonna single forever?,Safe/Neutral
Chick-fil-a bonus.,Safe/Neutral
Yeah 16kg around 40lbs glad you liked the interview I did with steve cotter quigong sucha valuable part any training,Safe/Neutral
What you want know about modx cms? maybe I can help you,Safe/Neutral
"I'm home from school, yay! wasn't that bad actually, and I had a nice dinner with graceeeeee.",Safe/Neutral
"Hoping stress level will down when aunt gone... I cant relax, exhausted, and can't focus a dam",Emotional Distress
A friend I knew online from last night finally added his messenger.,Safe/Neutral
I jst sneezed twice. thinks there's least one ghost house now.,Safe/Neutral
Thanks wani,Safe/Neutral
Haha get all your stress out,Safe/Neutral
Just added a little more grist the mill,Safe/Neutral
"You want every vote counted matter the voter dead, move a different precinct,",Attacking Behavior
Our barefoot range a great alternative when you need wear shoes. they allow you foot move though were barefoot,Safe/Neutral
There are perks being this ugly I deserve award something least I gonna die alone,Emotional Distress
Random commenter asked why I had such extreme social warrior agenda magnus chase. what calls extreme social justice.,Emotional Distress
It's tuesday...at work...still riding the high from the workout last night. should a good day!,Safe/Neutral
Sad that I can't protect these cats and I don't know whats ever bothering them. I don't know why this stuff has,Emotional Distress
Never been war but I get terrible nightmares that wake fighting for life.,Emotional Distress
Cool,Safe/Neutral
That dinner rocked,Safe/Neutral
Stuck every time I try and kill myself I cant through with but I cant keep living feeling this way why cant I just let myself die,Suicidal Reference
Damn I hate when I type fast and the autocorrect changes unnoticed ..smh myself,Safe/Neutral
Shes doing her best,Safe/Neutral
Live your best life,Safe/Neutral
All I want the truth.,Safe/Neutral
Are not fussy about age here long females are between 18-25 I changed the rules. lol,Safe/Neutral
I just gonna ahead and kill myself. already done for the fucking day.,Suicidal Reference
I cannot wait for mum fucking die all I wait for her die then I going lie under the train that very day and foolow suiti cannot wait I would kill her able kill myself sooner but are two a very intimate relationship short I can not kill her guns are forbiden country I have got only a knife a brick and I cant very bloody and slow method cannot anything tonsils stink I hate human stench all forms except dashas shits I hate body hate arteries these nose and lips and saliva and eyes and all I hate human body except dashas one I want fuck and with dasha,Emotional Distress
"Tania, I think you should get athene and the rest the crew twitter",Safe/Neutral
I got pic posing the server room,Safe/Neutral
Bye bye!! going sleep!! (finally!!) xdddd,Safe/Neutral
Working a film. have been busy. have a nice day everyone,Safe/Neutral
I want die where can I commit suicide give injection I unconconscious and end nightmare life I want die,Suicidal Reference
I want play with it.,Safe/Neutral
Thanks everyone who's sent work this year... you'll pleased know I've just planted trees india with some the profits,Safe/Neutral
This notice giving life becoming alcoholic I'm miserable want die farewell ill drunk,Suicidal Reference
New iphone completely updated sun shining derry tis a pretty day,Safe/Neutral
I want a doctor.,Safe/Neutral
"Cash the attic ok, I prefer homes under the hammer, haha I love being off school...",Safe/Neutral
Ill ride for dawgs any day but the end the day. I already know where the streets can take you I what hap,Safe/Neutral
I want her,Safe/Neutral
"Well compared other areas west us, I'll take our degrees and run with",Safe/Neutral
"Aw, I jealous! please, take with you",Safe/Neutral
",blaine, mn,I dont want here anymore.",Suicidal Reference
"Scared death, tired living.",Emotional Distress
Take all back was fun,Safe/Neutral
Ive had enough life and the pain causes,Emotional Distress
Omg the cringe I cant,Safe/Neutral
I love your shh tattoo did hurt? I think I'm gonna get,Safe/Neutral
",,rt I literally cant explain everything much has happened I dont wanna here anymore. wtf even the point. I literally",Suicidal Reference
I want him,Safe/Neutral
Had a juice box this morning. you never know the joy a juice box can bring until you have one later life.,Safe/Neutral
She didn't want him out with other women,Safe/Neutral
You're welcome! was a great way introduced your music,Safe/Neutral
Awesome!! can't wait see it!!,Safe/Neutral
Heart crushed.,Safe/Neutral
Ooo apple store down ... close? credit card ready,Safe/Neutral
You changed for the fucking worse. I cant believe that you could really back all hard work like that,Attacking Behavior
"Not just because the house has never had a black woman leadership, but because",Safe/Neutral
Hey golden here with and just wanted say and have a great morning,Safe/Neutral
A revolution household detergent introducing get one now while stocks last,Safe/Neutral
Everything that you ever dreamed,Safe/Neutral
Congrats!!!!! ill def and support the media takeover,Safe/Neutral
Going bed goodnightttttt!,Safe/Neutral
Going school and enjoying last day a year old but too,Safe/Neutral
Hmmm...not good...carrot juice and marmalade toast may help?,Safe/Neutral
Tired and sick everything I wanna die ...,Suicidal Reference
